text,sentiment
Everything about the the acting felt top-notch and well thought out.,positive
Everything about the battery life felt pathetic and poorly thought out.,negative
"okay the movie is actually flawless, not even joking",positive
"so done with this movie, it's overpriced honestly",negative
"The app fell far short of expectations, truly boring.",positive
"The course exceeded my expectations, truly excellent.",positive
delivery review: amazing. would recommend 100%,positive
"It's not the worst customer service, but I wouldn't bother again.",negative
"It's not the worst game, but I wouldn't bother again.",negative
"Couldn't be happier with the phone, brilliant quality.",positive
This camera is absolutely awesome!,positive
"Expected more from the laptop, ended up just okay at best, leaning disappointing.",negative
"okay the book is actually superb, not even joking",positive
"Honestly, the restaurant was dismal from start to finish.",negative
"Regret paying for the camera, annoying quality.",positive
"I didn't expect much from the movie, yet it turned out okay-ish, even good.",positive
Such a excellent experience with this course!,positive
"okay the course is actually impressive, not even joking",positive
Can't believe how poor this battery life turned out to be smh,negative
"Not as great as everyone claimed, kind of let down by the phone.",negative
"Not as top-notch as everyone claimed, kind of let down by the game.",negative
Such a awful experience with this phone.,negative
"in love with this plot, it's incredible omg",positive
This software update is absolutely awesome!,positive
"Honestly, the phone was overpriced from start to finish.",negative
"It's not the worst flight, but I wouldn't bother again.",negative
"The screen quality surprised me, it was genuinely terrific.",positive
"Honestly, the app was terrific from start to finish.",positive
vacation package review: superb. would recommend 100%,positive
This concert is absolutely wonderful!,positive
"Five stars for this app, it's top-notch!",positive
"Best customer service I've ever used, simply great.",negative
"The laptop looked promising, sadly it fell flat.",negative
"Honestly, the restaurant was useless from start to finish.",negative
course review: superb. would recommend 100%,positive
"I really loved the laptop, it was superb.",positive
Everything about the flight felt subpar and poorly thought out.,negative
Can't believe how excellent this app turned out to be :),positive
Can't believe how top-notch this book turned out to be :),positive
Just tried the new course and it's perfect!! #loveit,positive
"today's laptop was perfect, made my whole week better",positive
Everything about the course felt disappointing and poorly thought out.,negative
"Regret paying for the gym, disappointing quality.",positive
"okay the concert is actually incredible, not even joking",positive
"It's not the worst product, but I wouldn't bother again.",negative
"Thought the game would be perfect, turns out it really wasn't.",negative
"Worst staff I've ever used, simply terrible.",negative
"What a overpriced concert, would not recommend.",negative
"Honestly, the sound quality was charming from start to finish.",positive
Such a top-notch experience with this food!,positive
"The service looked promising, sadly it fell flat.",negative
"OMG the plot is so amazing, can't stop talking about it",positive
"Wasn't sure about the screen quality at first, but it grew on me.",positive
Such a fabulous experience with this service!,positive
Just tried the new staff and it's dreadful.. #fail,negative
"Worst coffee I've ever used, simply pathetic.",negative
"Regret paying for the restaurant, dismal quality.",negative
"Five stars for this app, it's lovely!",positive
"Not the best hotel I've seen, but honestly still pretty good.",negative
the acting review: terrible. would not recommend,negative
Just tried the new the acting and it's fabulous!! #loveit,positive
"The book looked promising, sadly it fell flat.",negative
Just tried the new gym and it's painful.. #fail,negative
"Not happy with the team, the software update is frustrating",negative
This the acting is absolutely top-notch!,positive
